mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.002872610092163086,0.0012792394894549173,0.023163652420043944,0.004907385663640725,3,2,distance,15,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance', 'pca__n_components': 15}",0.3177570093457944,0.5045045045045045,0.4918032786885246,0.38181818181818183,0.4339622641509434,0.4259690477015898,0.06960603372906776,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00295872688293457,0.002469559177020162,0.011497116088867188,0.0032353124237843,5,1,uniform,2,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 2}",0.22857142857142856,0.2524271844660194,0.02197802197802198,0.10416666666666667,0.07766990291262135,0.13696264091895158,0.08892344807993444,176,0.345679012345679,0.3176178660049628,0.21138211382113822,0.4225352112676056,0.20994475138121546,0.3014317909641202,0.08168802458086298
0.0016433238983154298,0.0009165179535948199,0.01419534683227539,0.005123084620390615,5,1,uniform,3,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 3}",0.17475728155339806,0.12903225806451613,0.10989010989010989,0.16,0.14583333333333334,0.14390259656827148,0.022772096717164944,171,0.3491271820448878,0.30612244897959184,0.27918781725888325,0.4747252747252747,0.32019704433497537,0.34587195346872257,0.06826386013131298
0.0027262687683105467,0.0015259280152166838,0.017728900909423827,0.006600514258503645,5,1,uniform,4,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 4}",0.21782178217821782,0.14583333333333334,0.11363636363636363,0.15841584158415842,0.12903225806451613,0.15294791575931788,0.035795225528972546,153,0.45011600928074247,0.3192019950124688,0.27906976744186046,0.46788990825688076,0.32338308457711445,0.3679321529138134,0.07615971432599829
0.0023714542388916016,0.0009611455043535233,0.01831507682800293,0.005759609242976295,5,1,uniform,5,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 5}",0.2830188679245283,0.27450980392156865,0.08602150537634409,0.16666666666666666,0.2653061224489796,0.2151045932676175,0.07703271720523312,81,0.4576659038901602,0.40749414519906324,0.36496350364963503,0.4481132075471698,0.4180522565320665,0.419257803363619,0.03284973215921397
0.0017394065856933595,0.0006353815429305797,0.01857280731201172,0.0053666362902031715,5,1,uniform,6,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 6}",0.24242424242424243,0.2222222222222222,0.06593406593406594,0.19148936170212766,0.24742268041237114,0.1938985145390059,0.0669365657026316,90,0.45433255269320844,0.39712918660287083,0.35523114355231145,0.42280285035629456,0.4744186046511628,0.42078286757116967,0.04210220692445686
0.0024398326873779296,0.001023654378269508,0.024068117141723633,0.004954661706628797,5,1,uniform,8,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 8}",0.20408163265306123,0.32653061224489793,0.25742574257425743,0.11235955056179775,0.20202020202020202,0.22048354801084327,0.07058529927507291,77,0.36363636363636365,0.43855421686746987,0.4792626728110599,0.42857142857142855,0.43373493975903615,0.4287519243290716,0.037181500553470255
0.0020035743713378907,0.0008037698256505362,0.02944183349609375,0.0042154879033499655,5,1,uniform,10,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 10}",0.37735849056603776,0.40404040404040403,0.37254901960784315,0.29473684210526313,0.34,0.35773695126390964,0.0375020668933728,19,0.5,0.4666666666666667,0.5345622119815668,0.5333333333333333,0.5656108597285068,0.5200346143420147,0.033807173127691305
0.001491880416870117,0.0004024106894081941,0.02903776168823242,0.005571619998564323,5,1,uniform,12,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 12}",0.30612244897959184,0.42,0.45714285714285713,0.38,0.3469387755102041,0.38204081632653064,0.0530681314185977,9,0.5578231292517006,0.5947136563876652,0.5483146067415731,0.5596330275229358,0.579064587973274,0.5679098015754297,0.016715821847794684
0.0028884410858154297,0.0014981459064516106,0.03855881690979004,0.007391382933148046,5,1,uniform,15,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 15}",0.30612244897959184,0.4,0.43137254901960786,0.39603960396039606,0.3469387755102041,0.37609467549396,0.044206531191733824,13,0.5578231292517006,0.6052631578947368,0.54627539503386,0.5642201834862385,0.5727069351230425,0.5692577601579156,0.019962978452658556
