mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.22110586166381835,0.02819069286729954,0.008990955352783204,0.00045244430360410814,1.0,100,6,0.2,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.7973856209150327,0.8413793103448276,0.8289473684210527,0.8413793103448276,0.847682119205298,0.8313547458462077,0.018040309433255474,6,1.0,1.0,1.0,1.0,0.9967845659163987,0.9993569131832798,0.0012861736334405017
0.8482954502105713,0.4230643140643078,0.06433510780334473,0.026912217748166916,0.8,200,3,0.01,0.2,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.5979381443298969,0.6808510638297872,0.6103286384976526,0.6103286384976526,0.6602870813397129,0.6319467132989405,0.03251484904187843,28,0.6709021601016518,0.655940594059406,0.6633165829145728,0.655980271270037,0.6390243902439025,0.657032799717914,0.010568336007473879
4.429995679855347,0.11797091583938113,0.01815023422241211,0.0026726297073990384,0.8,400,6,0.2,0.0,0.8,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.8}",0.7741935483870968,0.8057553956834532,0.8,0.8356164383561644,0.8289473684210527,0.8089025501695535,0.021951315889475808,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.308661985397339,0.13820336907297823,0.01869344711303711,0.003026736769511587,0.8,400,6,0.1,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7843137254901961,0.8309859154929577,0.8421052631578947,0.8551724137931035,0.8289473684210527,0.8283049372710408,0.023896181139265706,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.1306799411773683,0.6256981201593417,0.07203893661499024,0.05227646774427914,1.0,200,3,0.2,0.1,0.8,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7672955974842768,0.8243243243243243,0.7924528301886793,0.7814569536423841,0.8050314465408805,0.7941122304361089,0.019565486654991724,19,0.9714285714285714,0.9825119236883942,0.9779179810725552,0.9792663476874003,0.957613814756672,0.9737477277267186,0.008835597815131952
1.5484514713287354,0.5382038249650452,0.010969066619873047,0.00288891634532183,1.0,100,10,0.2,0.2,0.8,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.7770700636942676,0.8671328671328671,0.8187919463087249,0.8356164383561644,0.863013698630137,0.8323250028244322,0.03286478033629489,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7257815361022949,0.09198184112324674,0.01903562545776367,0.002804914838530363,1.0,400,6,0.2,0.0,1.0,"{'subsample': 1.0, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 1.0}",0.7922077922077922,0.8489208633093526,0.8157894736842105,0.863013698630137,0.8421052631578947,0.8324074181978773,0.025281030350119804,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3285336494445801,0.05931098620930613,0.010928583145141602,0.0017374931126798636,0.8,100,6,0.1,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7564102564102564,0.8435374149659864,0.8496732026143791,0.8299319727891157,0.8235294117647058,0.8206164517088886,0.03342862579833635,14,0.9935897435897436,0.9952,0.9967948717948718,0.998389694041868,0.9856459330143541,0.9939240484881676,0.004437355620029745
0.6387060165405274,0.03073593364061185,0.008167076110839843,0.0026040402436404006,1.0,200,6,0.01,0.1,0.8,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7037037037037037,0.8187919463087249,0.7901234567901234,0.8211920529801324,0.7926829268292683,0.7852988173223906,0.04276839683908435,20,0.8813008130081301,0.8870703764320785,0.8821656050955414,0.8918032786885246,0.867741935483871,0.8820164017416291,0.008069948405852189
0.3105665683746338,0.03330103079988481,0.00876445770263672,0.0008657759016933358,1.0,100,10,0.2,0.2,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.7843137254901961,0.8493150684931506,0.8435374149659864,0.8472222222222222,0.8456375838926175,0.8340052030128347,0.02491786453868683,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
